N,P,K,temperature,humidity,ph,rainfall,season,soil_type,label
76.99,15.09,45.58,24.08,92.39,5.84,32.28,Zaid,Alluvial,muskmelon
95.22,18.96,55.62,24.0,95.18,7.09,82.72,Zaid,Alluvial,watermelon
42.17,61.17,33.96,31.43,97.66,6.89,141.28,Zaid,Laterite,papaya
60.45,71.15,40.75,33.92,97.5,6.87,177.54,Zaid,Laterite,papaya
26.37,118.18,200.78,22.33,88.26,5.82,157.73,Rabi,Mountain,apple
26.88,20.8,18.39,30.3,53.23,5.53,105.04,Zaid,Laterite,mango
20.18,140.89,210.0,19.88,90.6,5.88,109.39,Rabi,Mountain,apple
20.59,44.5,21.08,23.48,56.18,7.31,46.94,Kharif,Desert,mothbeans
24.25,55.94,21.19,24.13,91.54,6.13,73.51,Zaid,Alluvial,mungbean
18.54,79.9,25.22,21.9,72.49,7.07,49.81,Rabi,Alluvial,lentil
44.46,52.04,18.93,28.48,61.51,7.28,56.49,Kharif,Alluvial,blackgram
20.53,16.48,30.09,28.35,93.35,6.13,171.39,Kharif,Laterite,coconut
17.4,16.57,42.02,22.56,89.13,5.82,124.61,Rabi,Red,pomegranate
87.99,34.55,46.29,26.33,80.71,7.0,150.26,Kharif,Alluvial,jute
19.05,17.88,30.61,28.08,86.75,6.05,185.84,Rabi,Laterite,coconut
23.69,13.81,49.08,20.05,95.5,6.8,51.14,Zaid,Black,pomegranate
26.44,137.16,187.98,23.37,90.79,6.2,141.67,Rabi,Laterite,apple
64.61,57.14,13.57,28.97,62.83,6.29,66.32,Kharif,Black,maize
38.05,60.39,53.87,38.34,92.3,7.13,104.84,Zaid,Laterite,papaya
81.91,15.48,59.82,22.76,88.47,6.15,41.35,Zaid,Mountain,muskmelon
110.27,40.58,24.09,25.59,50.74,6.54,147.37,Kharif,Red,coffee
56.62,68.72,58.88,30.22,91.0,7.41,128.38,Zaid,Laterite,papaya
10.95,22.22,6.49,21.35,92.83,7.43,140.64,Rabi,Black,orange
49.82,61.45,57.38,32.44,97.58,6.81,130.74,Zaid,Laterite,papaya
44.84,61.36,83.19,17.69,15.67,8.35,70.06,Rabi,Black,chickpea
97.93,56.72,43.87,23.85,77.41,6.13,166.66,Kharif,Mountain,jute
16.17,48.88,16.06,27.22,77.45,6.61,57.09,Zaid,Alluvial,mungbean
13.45,19.44,12.27,22.21,97.57,7.59,128.39,Rabi,Black,orange
30.9,59.82,16.49,22.04,50.35,5.77,115.88,Kharif,Black,pigeonpeas
55.82,48.77,56.51,21.02,91.22,5.83,178.8,Kharif,Alluvial,rice
