soil_type,N,P,K,ph,organic_carbon,ec,health_score,health_class
Desert,117.0,65.8,151.9,8.88,1.66,2.0,72.3,Moderate
Desert,130.3,49.6,82.5,7.21,2.05,2.78,83.7,Healthy
Mountain,139.4,39.4,157.7,4.9,2.57,0.7,55.8,Moderate
Laterite,100.4,70.2,43.0,6.2,1.18,1.91,91.5,Healthy
Red,41.5,67.0,201.2,4.49,0.51,0.33,54.1,Moderate
Black,55.6,68.9,151.1,5.77,2.73,0.72,79.3,Healthy
Red,75.6,93.5,138.0,4.93,1.28,2.67,80.1,Healthy
Laterite,104.4,143.3,143.4,3.79,1.0,2.37,57.2,Moderate
Alluvial,130.3,21.5,94.1,7.13,2.02,3.35,78.5,Healthy
Mountain,72.9,20.5,72.1,5.28,0.97,0.66,92.0,Healthy
Black,38.7,78.0,182.3,6.03,0.42,3.2,55.5,Moderate
Mountain,120.1,140.9,8.5,8.32,0.9,1.9,56.6,Moderate
Mountain,107.6,22.1,138.3,3.88,1.14,3.25,76.6,Healthy
Alluvial,6.2,113.7,107.8,4.48,1.24,3.76,45.0,Poor
Laterite,91.2,124.3,197.8,4.2,0.77,2.64,51.7,Moderate
Laterite,62.8,2.9,143.6,6.18,0.74,2.2,72.9,Moderate
Black,146.3,41.1,35.5,8.32,2.74,0.79,63.4,Moderate
Alluvial,87.8,24.7,82.2,8.7,1.1,2.82,77.5,Healthy
Black,42.2,121.2,9.4,3.55,1.15,0.25,56.5,Moderate
Alluvial,85.0,32.3,2.5,5.15,0.21,3.9,55.6,Moderate
Desert,1.6,124.6,194.6,6.02,2.34,3.46,38.7,Poor
Mountain,41.6,18.1,191.2,3.67,2.05,0.29,58.3,Moderate
Desert,27.4,104.4,110.6,4.59,1.99,2.04,67.5,Moderate
Desert,53.2,56.8,43.3,8.55,2.5,0.43,83.4,Healthy
Desert,19.2,124.0,49.9,8.67,2.48,0.21,58.1,Moderate
Alluvial,111.7,141.9,126.7,5.08,2.05,2.85,74.2,Moderate
Laterite,0.6,22.0,7.7,5.0,0.86,2.44,47.8,Poor
Mountain,95.5,114.2,39.5,5.19,0.81,2.38,76.5,Healthy
Alluvial,67.4,58.4,139.0,3.56,0.86,3.01,72.1,Moderate
Laterite,116.3,84.8,63.8,6.15,1.01,0.15,96.4,Healthy
Red,38.8,127.0,88.5,8.41,2.52,0.4,56.6,Moderate
Black,133.5,30.5,61.1,6.51,2.18,2.07,86.3,Healthy
Red,5.3,113.0,118.0,8.42,1.83,1.35,53.2,Moderate
Black,84.4,93.6,145.3,5.87,0.62,2.47,74.4,Moderate
Mountain,145.3,60.8,33.6,5.14,2.71,0.66,60.5,Moderate
Mountain,139.7,44.2,141.5,7.44,2.1,1.06,80.6,Healthy
Red,40.8,41.4,177.0,8.95,2.11,0.79,64.0,Moderate
Black,17.8,32.2,160.2,8.66,1.46,0.02,61.6,Moderate
Desert,1.8,9.9,179.2,6.96,2.91,2.07,41.2,Poor
Desert,130.8,107.6,20.5,5.14,1.51,2.02,63.3,Moderate
Red,35.7,99.7,78.6,7.77,0.67,1.91,74.1,Moderate
Desert,47.4,133.9,110.1,3.71,2.4,0.21,58.3,Moderate
Laterite,84.2,97.0,162.9,6.13,1.4,2.23,75.6,Healthy
Alluvial,112.4,126.4,183.2,6.31,1.45,3.6,66.5,Moderate
Alluvial,91.6,66.2,12.9,8.75,1.32,2.27,70.6,Moderate
Desert,121.2,104.8,202.6,4.91,0.78,0.59,64.5,Moderate
Red,59.9,53.5,96.7,5.01,0.11,1.89,73.7,Moderate
Desert,59.8,0.8,100.3,4.96,3.0,0.25,55.3,Moderate
Black,106.9,126.0,75.7,8.94,1.92,2.0,64.7,Moderate
